Species_id,scientificName,locality,latitude,longitude,eventDate
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,29-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,18-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,05-01-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,19-01-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,06-01-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,06-01-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,17-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,06-01-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,06-01-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,18-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,30-01-2016
1,Stipiturus mallee,Old Calder/Nowingi/Ranger Station,-34.7630519,142.32934,11-01-2016
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,29-01-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,05-01-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,07-01-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,17-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Hattah Nature Walk,-34.7603096,142.3223448,11-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,06-01-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,06-01-2019
1,Stipiturus mallee,Murray-Sunset National Park--Honeymoon Hut Track,-34.9157778,141.9897079,31-01-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,26-02-2017
1,Stipiturus mallee,-34.691x142.274 - 27 Feb 2016 19:43,-34.6913986,142.2739959,27-02-2016
1,Stipiturus mallee,"Hattah-Kulkyne National Park--Old Calder Hwy at -34.84142, 142.34951",-34.84142,142.34951,01-02-2016
2,Ningaui yvonneae,"Big Desert, Pella Track",-35.87,141.684,08-02-2017
1,Stipiturus mallee,"Hattah-Kulkyne National Park--Old Calder Hwy at -34.84142, 142.34951",-34.84142,142.34951,01-02-2016
1,Stipiturus mallee,AU-Victoria-Hattah-Unnamed Rd - -34.691x142.274,-34.6906101,142.2735565,28-02-2016
3,Ctenophorus fordi,"Hattah Nature Walk, Hattah VIC 3501, Australia",-34.76001194,142.32113,01-02-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,27-02-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,20-02-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.710309,142.4043667,06-02-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track 1km N of Konardin Track,-34.6755132,142.2711039,23-03-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,09-03-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,30-03-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,25-03-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,19-03-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-03-2015
1,Stipiturus mallee,"AU-VIC-Hattah-Kulkyne National Park - -34.6850x142.2711 - 5 Mar 2017, 9:18 am",-34.685039,142.271116,05-03-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,20-03-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,02-03-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,21-03-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,23-03-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,13-03-2018
1,Stipiturus mallee,Murray-Sunset National Park--Pheenys Campground,-34.71548,141.179834,27-03-2019
1,Stipiturus mallee,Murray-Sunset National Park--Pheenys Campground,-34.71548,141.179834,26-03-2019
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,31-03-2018
3,Ctenophorus fordi,"site \""Milmed 4\"", Big Desert",-35.6681,141.715,14-03-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,23-03-2019
3,Ctenophorus fordi,Cov8,-35.8723,141.6758,31-03-2016
3,Ctenophorus fordi,"site \""Milmed 4\"", Big Desert",-35.6681,141.715,14-03-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,11-03-2017
1,Stipiturus mallee,"35?ø1'24\"" S 141?ø44'15\"" E",-35.0375921,141.7496878,17-04-2017
1,Stipiturus mallee,Murray-Sunset National Park--Pink Lakes,-35.048057,141.7216587,17-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,22-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,09-04-2016
1,Stipiturus mallee,"(-34.762, 142.32)",-34.7624131,142.3204669,01-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,12-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,05-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,11-04-2019
1,Stipiturus mallee,"(-34.756, 142.325)",-34.7561125,142.3248047,01-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Parkƒ??Nowingi / Konardin Track,-34.683611,142.271104,19-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,11-04-2018
1,Stipiturus mallee,Hattah-Konardin Tk-partway 2,-34.690391,142.328092,17-04-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,28-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,30-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,27-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,07-04-2018
1,Stipiturus mallee,"Hattah-Kulkyne National Park--Konardin Tk at -34.6866, 142.3109",-34.68657,142.3109,17-04-2016
1,Stipiturus mallee,"Old Calder Hwy, Hattah",-34.7432582,142.3235321,15-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,24-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,12-04-2015
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,22-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,06-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,19-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,15-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,06-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,23-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,12-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Parkƒ??Nowingi / Konardin Track,-34.683611,142.271104,19-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,11-04-2017
,Aprasia inaurita,Cov12,-35.8626,141.7198,04-04-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,18-04-2017
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,07-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,06-04-2015
,Aprasia inaurita,Cov12,-35.8626,141.7198,02-04-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Hattah Nature Walk,-34.7603096,142.3223448,17-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,28-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,15-04-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track at 34 41 01S 142 16 33E,-34.68356,142.27589,15-04-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,07-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,18-04-2015
3,Ctenophorus fordi,Clemann incidental,-35.907,141.656,02-04-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,06-04-2016
1,Stipiturus mallee,Murray-Sunset National Park,-34.8014,141.57531,21-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,17-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,05-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,28-04-2018
,Aprasia inaurita,Cov12,-35.8626,141.7198,04-04-2016
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,06-04-2017
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,17-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track/Old Calder Hwy junction,-34.6942,142.27071,01-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,12-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park--Nowingi Track,-34.6911519,142.2727855,07-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,22-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7555268,142.338438,06-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park--Konardin Track,-34.68529,142.30131,18-04-2019
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,28-04-2017
1,Stipiturus mallee,"Nowingi Track, Hattah, Victoria, AU (-34.694, 142.271)",-34.6936023,142.2707975,01-04-2018
1,Stipiturus mallee,Hattah-Kulkyne National Park,-34.7526497,142.3431587,15-05-2017
